cartodb_id,the_geom,the_geom_webmercator,objectid,id,datetimeoccur,weekday,location,districtoccur,psa,stopcode,stoptype,inside_or_outside,gender,race,age,individual_frisked,individual_searched,individual_arrested,individual_contraband,vehicle_frisked,vehicle_searched,vehicle_contraband,vehicle_contraband_list,individual_contraband_list,mvc_code,mvc_reason,mvc_code_sec,mvc_code_sec_reason,point_x,point_y,on_hin
177325,0101000020E61000004C38D308E6C452C0A3A5B8CB7A054440,0101000020110F0000E0BD5D8E9AE15FC14EC13750F9955241,195928,1474604,2020-03-13T19:15:00Z,FRIDAY,6600 BLOCK LORETTO AVE,02,1,2702,vehicle,Outside,Female,White - Latino,32.0,0,0,0,0,0,0,0,,,,,,,-75.07654019,40.04280993,False
827040,0101000020E610000014462F7A19CE52C00C9AD003A3FB4340,0101000020110F0000A20A44833BF15FC1C17E227F0F8B5241,883497,1237656,2019-08-29T19:40:00Z,THURSDAY,50TH  / BROWN,16,2,2702,vehicle,Outside,Male,Black - Non-Latino,27.0,0,0,0,0,0,0,0,,,,,,,-75.22030501,39.96591232,False
2003535,0101000020E610000043AE92970ECB52C0D6B6F67880064440,0101000020110F000036FA737F10EC5FC11CB601A11B975241,2114304,754484,2018-08-24T01:55:00Z,THURSDAY,800 BLOCK WASHINGTON LN,14,1,2702,vehicle,Outside,Male,Black - Non-Latino,38.0,0,0,0,0,0,0,0,,,,,,,-75.17276563,40.05079567,False
2178009,0101000020E6100000FABF3CC7F4C352C0F3BED818C7014440,0101000020110F00005A2818C200E05FC1E80CF32DDE915241,2300746,21512036,2021-05-03T23:46:00Z,MONDAY,5700 BLOCK tulip,15,1,2702,vehicle,Outside,Male,Black - Non-Latino,27.0,0,0,0,0,0,0,0,,,,,,,-75.06181508,40.01388846,False
2205246,0101000020E6100000F967C4D4AFC952C084C256BF08FC4340,0101000020110F00001E85F0B1BCE95FC1AE4E653B808B5241,2354547,1119993,2019-06-11T15:05:00Z,TUESDAY,900 BLOCK N 9TH ST,26,2,2702,vehicle,Outside,Male,Black - Non-Latino,31.0,0,0,0,0,0,0,0,,,,,,,-75.15135688,39.96901695,False
329212,0101000020E610000076B6B20A7CC952C0ECABC49F55FF4340,0101000020110F00005966C6B964E95FC1618A29AF288F5241,358985,21080751,2021-04-30T17:40:00Z,FRIDAY,2800 BLOCK N Warnock St,25,4,2702,vehicle,Outside,Male,Black - Non-Latino,17.0,1,0,0,0,1,0,1,,,,,,,-75.14819591,39.99480054,False
2008354,0101000020E6100000D6244FC4E8C752C02BAB0218C3054440,0101000020110F0000248FFBB8B7E65FC17844408549965241,2139081,632486,2018-05-08T22:57:00Z,TUESDAY,6200 BLOCK 2ND ST,35,2,2701,pedestrian,Outside,Male,Black - Non-Latino,19.0,1,1,1,0,0,0,0,,,,,,,-75.12358196,40.04501629,True
2008354,0101000020E6100000D6244FC4E8C752C02BAB0218C3054440,0101000020110F0000248FFBB8B7E65FC17844408549965241,2139081,632486,2018-05-08T22:57:00Z,TUESDAY,6200 BLOCK 2ND ST,35,2,2701,pedestrian,Outside,Male,Black - Non-Latino,19.0,1,1,1,0,0,0,0,,,,,,,-75.12358196,40.04501629,True
1906034,0101000020E61000004166E39897CE52C0F6C65A8D36FA4340,0101000020110F00008D187BBD11F25FC13B1B4EA87B895241,2026441,1120870,2019-06-12T01:20:00Z,TUESDAY,300 BLOCK S 53RD ST,18,2,2702,vehicle,Outside,Male,Black - Non-Latino,21.0,0,0,0,0,0,0,0,,,,,,,-75.22800276,39.9547898,False
349477,0101000020E610000076C8E60D24C852C07ECE175AA1054440,0101000020110F0000F389A66D1CE75FC16DC24A1624965241,376367,23231218,2021-05-15T06:18:00Z,SATURDAY,6100 BLOCK N 4th st,35,1,2702,vehicle,Outside,Male,Black - Non-Latino,20.0,0,0,0,0,0,0,0,,,,,,,-75.12720058,40.04398656,False
7112,0101000020E6100000AB1F1F1D2CCB52C098CEDAAF33054440,0101000020110F00009DB8B5A442EC5FC1D1DE8E6DAA955241,6065,881527,2018-12-22T17:32:00Z,SATURDAY,BAYNTON / HAINES,14,2,2702,vehicle,Outside,Female,Black - Non-Latino,60.0,0,0,0,0,0,0,0,,,,,,,-75.17456749,40.04063986,False
476178,0101000020E6100000736B6F438EC952C0BBEC5BD692044440,0101000020110F000017E94CAD83E95FC180A438FFF7945241,506348,830270,2018-11-02T18:25:00Z,FRIDAY,1600 BLOCK W SOMERVILLE AVE,35,2,2702,vehicle,Outside,Male,Black - Non-Latino,44.0,0,0,0,0,0,0,0,,,,,,,-75.14930807,40.03573112,False
1812399,0101000020E61000007A592CA89CCF52C067406260C2FB4340,0101000020110F000082BB242DCDF35FC108C9E43F328B5241,1905862,1142885,2019-06-26T22:46:00Z,WEDNESDAY,6200 BLOCK vine st,19,2,2702,vehicle,Outside,Male,Black - Non-Latino,27.0,0,1,1,1,0,1,1,,,,,,,-75.24393659,39.9668694,False
612255,0101000020E6100000599E8BAF0BCB52C0105E79980F054440,0101000020110F000022B6A58F0BEC5FC100D3FE6382955241,657236,29164852,2021-06-27T03:19:00Z,SATURDAY,5800 BLOCK BAYNTON ST,14,2,2702,vehicle,Outside,Male,Black - Non-Latino,43.0,0,0,0,0,0,0,0,,,,,,,-75.17258824,40.03953844,False
239507,0101000020E61000003EA4294C29CB52C03A586212EC004440,0101000020110F00005BAD16DC3DEC5FC1E59EFC4FEB905241,266589,108113218,2022-12-02T07:31:00Z,FRIDAY,2700 BLOCK w hunting park ave,39,2,2702,vehicle,Outside,Male,Black - Non-Latino,40.0,0,0,0,0,0,0,0,,,4303B,"police witnessed listed vehicle driving east bound at listed location with no rear lights on in evening hours , police stopped vehicle , driver gave information verbally ncic/pcic checked came back suspended license , owner of the vehicle was the passenger ncic/pcic checked no wants valid license, police gave verbal warning and driver switched with passenger",,,-75.17439559,40.00720434,True
59936,0101000020E6100000DBC7A753E0C952C03F4F873E6DFF4340,0101000020110F0000C75BE0110FEA5FC18662A0DE428F5241,62893,1187040,2019-07-26T17:00:00Z,FRIDAY,1400 BLOCK W SOMERSET ST,39,3,2701,pedestrian,Outside,Male,Black - Non-Latino,34.0,0,0,0,0,0,0,0,,,,,,,-75.15431682,39.99552137,True
838891,0101000020E610000052E3CE1AB6CA52C05B05D616C3054440,0101000020110F0000E5D573317AEB5FC179B9F28349965241,876071,1027731,2019-04-07T09:59:00Z,SUNDAY,5800 BLOCK MCMAHON,14,2,2701,pedestrian,Outside,Male,Black - Non-Latino,32.0,0,0,0,0,0,0,0,,,,,,,-75.16736479,40.04501615,False
1518437,0101000020E6100000C7FCB35163CF52C0D56EE44F0EF94340,0101000020110F00002BEB48C86BF35FC1A3D2C57533885241,1614656,66358525,2022-03-13T22:00:00Z,SUNDAY,5800 BLOCK BALTIMORE AVE,12,4,2702,vehicle,Outside,Male,Black - Non-Latino,22.0,1,0,0,0,1,0,0,,,3714,POLICE OBSERVED VEHICLE TRAVELING E/B DRIVE INTO ONCOMING TRAFFIC TO MAKE A LEFT TURN. NO NCIC/PCIC WANTS. VERBAL WARNING GIVEN.,,,-75.24043696,39.94574926,True
1154332,0101000020E6100000BEE32DBA69C852C03EA9DD4CD8FE4340,0101000020110F0000D8F75CC692E75FC1C4801AC19D8E5241,1229885,595315,2018-04-09T22:19:00Z,MONDAY,2700 BLOCK HOPE STREET,25,2,2702,vehicle,Outside,Female,White - Latino,19.0,0,0,0,0,0,0,0,,,,,,,-75.13145308,39.99097596,True
